forecast_time,temperature,fetch_time,location
2025-07-19 23:00:00,26.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 22:00:00,26.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 22:00:00,26.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 21:00:00,26.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 21:00:00,26.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 20:00:00,26.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 20:00:00,26.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 19:00:00,26.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 19:00:00,26.6,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 18:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 18:00:00,26.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 17:00:00,27.0,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 17:00:00,27.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 16:00:00,27.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 16:00:00,27.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 15:00:00,27.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 15:00:00,27.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 14:00:00,27.9,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 14:00:00,27.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 13:00:00,28.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 13:00:00,27.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 12:00:00,28.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 12:00:00,28.8,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 11:00:00,29.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 11:00:00,29.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 10:00:00,29.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 10:00:00,30.3,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 09:00:00,29.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 09:00:00,30.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 08:00:00,32.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 08:00:00,31.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 07:00:00,32.4,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 07:00:00,32.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 06:00:00,32.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 06:00:00,32.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 05:00:00,31.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 05:00:00,31.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 04:00:00,30.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 04:00:00,31.1,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 03:00:00,30.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 03:00:00,30.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 02:00:00,29.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 02:00:00,29.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 01:00:00,27.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 01:00:00,27.7,2025-07-19 11:01:20.480093,Bangkok
2025-07-19 00:00:00,26.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-19 00:00:00,26.2,2025-07-19 11:01:20.480093,Bangkok
2025-07-18 23:00:00,25.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 22:00:00,25.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 21:00:00,25.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 20:00:00,25.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 19:00:00,25.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 18:00:00,26.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 17:00:00,26.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 16:00:00,26.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 15:00:00,27.1,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 14:00:00,27.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 13:00:00,27.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 12:00:00,28.4,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 11:00:00,29.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 10:00:00,29.7,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 09:00:00,29.6,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 08:00:00,31.5,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 07:00:00,32.0,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 06:00:00,32.3,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 05:00:00,30.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 04:00:00,29.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 03:00:00,29.2,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 02:00:00,28.9,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 01:00:00,27.8,2025-07-18 23:57:23.673583,Bangkok
2025-07-18 00:00:00,26.8,2025-07-18 23:57:23.673583,Bangkok
